"vremia","U64_1GS","U64_2GS","D21","D22","D23","D24","D25","D26","speed_DS","T_mot_DS","Obgat_DS","I_nv_pr_DS","I_nv_lev_DS","Pos_NV_pr_DS","Pos_NV_lev_DS"
"2020-06-22 00:00:02.046","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:03.031","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:04.078","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:05.062","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:06.062","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:07.078","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:08.078","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:09.062","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:10.046","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:11.046","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:12.015","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:13.031","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:14.062","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:15.031","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:16.015","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:17.031","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:17.984","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:18.968","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:19.937","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:20.921","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:21.921","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:22.890","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:23.875","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:24.875","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:25.875","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:26.843","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:27.890","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:28.875","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:29.859","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:30.875","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:31.843","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:32.890","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:33.984","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:34.968","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:35.968","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:36.953","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:37.984","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:38.984","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:39.953","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:41.015","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:42.062","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:43.062","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:44.078","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:45.078","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:46.109","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:47.125","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:48.125","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:49.109","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:50.109","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:51.125","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:52.109","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:53.125","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:54.156","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:55.156","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:56.187","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:57.203","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:58.234","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:00:59.234","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:00.281","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:01.281","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:02.265","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:03.250","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:04.234","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:05.250","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:06.234","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:07.281","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:08.281","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:09.265","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:10.265","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:11.234","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:12.234","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:13.250","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:14.234","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:15.234","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:16.250","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:17.265","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:18.265","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:19.281","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:20.281","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:21.281","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:22.281","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:23.296","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:24.296","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:25.312","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:26.343","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:27.328","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:28.312","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:29.296","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:30.312","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:31.359","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:32.421","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:33.390","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:34.359","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:35.375","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:36.359","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:37.328","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:38.328","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:39.343","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:40.328","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:41.343","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
